frame,time_s,pixel_x,pixel_y,world_x_mm,world_y_mm,straight_mm,cumulative_mm
0,0.000000,449.000,48.000,36.684,-265.574,0.000,0.000
1,0.033333,448.982,47.758,36.629,-265.873,0.304,0.304
2,0.066667,448.690,47.571,36.370,-266.124,0.634,0.665
3,0.100000,448.505,47.476,36.211,-266.254,0.828,0.870
4,0.133333,448.417,47.448,36.138,-266.295,0.904,0.953
5,0.166667,448.303,47.329,36.029,-266.449,1.093,1.143
6,0.200000,448.238,47.299,35.973,-266.490,1.160,1.212
7,0.233333,448.319,47.285,36.034,-266.502,1.133,1.273
8,0.266667,448.307,47.236,36.016,-266.563,1.194,1.337
9,0.300000,448.260,47.175,35.969,-266.642,1.286,1.429
10,0.333333,448.232,47.152,35.944,-266.671,1.324,1.468
11,0.366667,448.216,47.139,35.929,-266.689,1.347,1.491
12,0.400000,448.207,47.134,35.921,-266.696,1.357,1.501
13,0.433333,448.395,47.061,36.054,-266.773,1.354,1.655
14,0.466667,449.029,46.885,36.516,-266.943,1.379,2.147
15,0.500000,450.282,46.593,37.437,-267.213,1.804,3.108
16,0.533333,452.253,46.226,38.902,-267.525,2.953,4.605
17,0.566667,454.773,45.877,40.794,-267.774,4.661,6.513
18,0.600000,457.663,45.748,43.007,-267.725,6.678,8.727
19,0.633333,460.579,46.073,45.311,-267.118,8.764,11.110
20,0.666667,463.250,46.918,47.508,-265.892,10.828,13.626
21,0.700000,465.560,48.320,49.512,-264.012,12.923,16.373
22,0.733333,467.514,49.961,51.275,-261.873,15.053,19.145
23,0.766667,469.154,51.564,52.787,-259.807,17.104,21.705
24,0.800000,470.550,52.926,54.069,-258.057,18.940,23.875
25,0.833333,471.772,54.000,55.171,-256.673,20.518,25.644
26,0.866667,473.004,54.961,56.260,-255.427,22.049,27.299
27,0.900000,474.358,56.018,57.455,-254.059,23.749,29.115
28,0.933333,475.981,57.462,58.911,-252.210,25.935,31.468
29,0.966667,477.891,59.372,60.651,-249.789,28.698,34.451
30,1.000000,479.991,61.630,62.582,-246.947,31.901,37.886
31,1.033333,482.280,64.174,64.689,-243.763,35.497,41.704
32,1.066667,484.840,67.145,67.054,-240.072,39.657,46.088
33,1.100000,487.416,70.214,69.431,-236.282,43.936,50.562
34,1.133333,489.979,73.419,71.807,-232.356,48.343,55.151
35,1.166667,492.487,76.776,74.150,-228.275,52.866,59.856
36,1.200000,494.899,80.083,76.401,-224.281,57.293,64.440
37,1.233333,497.223,83.398,78.576,-220.307,61.676,68.971
38,1.266667,499.562,86.867,80.771,-216.176,66.211,73.650
39,1.300000,501.978,91.235,83.131,-211.035,71.636,79.306
40,1.333333,504.397,95.798,85.503,-205.710,77.247,85.136
41,1.366667,506.686,100.486,87.779,-200.287,82.904,91.017
42,1.400000,508.913,105.198,89.998,-194.879,88.545,96.862
43,1.433333,511.090,110.156,92.197,-189.239,94.386,102.915
44,1.466667,513.036,114.356,94.119,-184.489,99.365,108.039
45,1.500000,514.873,118.574,95.953,-179.754,104.297,113.117
46,1.533333,516.702,122.978,97.794,-174.846,109.389,118.359
47,1.566667,518.529,127.657,99.654,-169.671,114.728,123.859
48,1.600000,520.389,132.557,101.550,-164.291,120.274,129.563
49,1.633333,522.264,137.802,103.484,-158.580,126.135,135.593
50,1.666667,524.160,143.333,105.451,-152.606,132.253,141.882
51,1.700000,526.091,149.234,107.470,-146.286,138.709,148.516
52,1.733333,527.985,155.399,109.475,-139.744,145.368,155.359
53,1.766667,529.821,161.643,111.433,-133.178,152.040,162.211
54,1.800000,531.607,168.027,113.354,-126.525,158.786,169.135
