frame,time_s,pixel_x,pixel_y,world_x_mm,world_y_mm,straight_mm,cumulative_mm
0,0.000000,946.500,434.000,335.627,82.390,0.000,0.000
1,0.033333,946.534,433.247,335.627,81.897,0.493,0.493
2,0.066667,945.885,431.403,335.335,80.717,1.699,1.709
3,0.100000,944.764,428.769,334.839,79.033,3.448,3.464
4,0.133333,943.400,425.693,334.236,77.063,5.506,5.525
5,0.166667,940.983,419.565,333.149,73.110,9.606,9.625
6,0.200000,937.668,411.690,331.659,68.001,14.927,14.947
7,0.233333,933.792,402.623,329.904,62.068,21.113,21.134
8,0.266667,929.599,392.770,327.985,55.556,27.901,27.922
9,0.300000,925.181,382.311,325.941,48.569,35.181,35.202
10,0.333333,920.720,372.205,323.864,41.750,42.309,42.331
11,0.366667,916.469,362.944,321.873,35.440,48.924,48.948
12,0.400000,912.432,354.713,319.977,29.782,54.887,54.914
13,0.433333,908.485,347.631,318.131,24.882,60.111,60.151
14,0.466667,904.411,341.753,316.248,20.797,64.570,64.648
15,0.500000,899.865,336.685,314.171,17.268,68.566,68.743
16,0.533333,894.798,331.968,311.865,13.972,72.427,72.766
17,0.566667,889.195,327.490,309.316,10.832,76.242,76.810
18,0.600000,883.076,323.164,306.528,7.785,80.080,80.941
19,0.633333,876.398,318.962,303.476,4.810,83.979,85.203
20,0.666667,869.121,314.731,300.133,1.796,88.064,89.703
21,0.700000,860.999,310.416,296.382,-1.299,92.434,94.566
22,0.733333,851.844,305.902,292.124,-4.562,97.228,99.931
23,0.766667,841.524,301.214,287.286,-7.982,102.489,105.856
24,0.800000,829.926,296.391,281.799,-11.536,108.257,112.393
25,0.833333,817.107,291.581,275.677,-15.121,114.466,119.487
26,0.866667,803.150,287.001,268.946,-18.575,120.997,127.053
27,0.900000,788.231,282.931,261.684,-21.681,127.666,134.952
28,0.933333,772.647,279.389,254.019,-24.421,134.419,143.092
29,0.966667,757.425,276.284,246.440,-26.857,141.030,151.053
30,1.000000,743.847,273.928,239.610,-28.731,146.858,158.135
31,1.033333,732.974,272.246,234.091,-30.086,151.527,163.818
32,1.066667,725.404,271.186,230.222,-30.947,154.776,167.781
33,1.100000,721.080,270.696,228.008,-31.349,156.584,170.031
34,1.133333,719.203,270.885,227.071,-31.201,157.122,170.980
35,1.166667,718.419,271.305,226.702,-30.864,157.135,171.480
36,1.200000,717.635,272.119,226.360,-30.209,156.901,172.219
37,1.233333,715.993,273.326,225.609,-29.240,156.733,173.445
38,1.266667,713.076,275.007,224.244,-27.889,156.742,175.366
39,1.300000,708.532,277.238,222.086,-26.095,157.037,178.172
40,1.333333,701.971,280.407,218.961,-23.539,157.582,182.208
41,1.366667,693.058,284.531,214.690,-20.204,158.591,187.628
42,1.400000,681.707,289.744,209.225,-15.969,160.163,194.542
43,1.433333,668.031,296.141,202.614,-10.747,162.380,202.967
44,1.466667,652.528,303.581,195.090,-4.638,165.302,212.658
45,1.500000,636.727,311.372,187.390,1.794,168.731,222.691
46,1.533333,622.286,318.764,180.335,7.926,172.223,232.038
47,1.566667,610.172,325.194,174.408,13.280,175.407,240.026
48,1.600000,601.135,330.344,170.002,17.573,177.856,246.177
49,1.633333,595.085,334.260,167.090,20.830,179.428,250.547
50,1.666667,590.974,337.603,165.173,23.593,180.310,253.909
51,1.700000,587.563,341.238,163.665,26.576,180.794,257.252
52,1.733333,584.143,345.639,162.226,30.169,181.094,261.122
53,1.766667,580.101,351.012,160.544,34.547,181.503,265.812
54,1.800000,575.372,357.403,158.589,39.745,182.102,271.366
55,1.833333,570.249,364.399,156.482,45.425,182.919,277.423
56,1.866667,564.972,371.471,154.302,51.158,183.995,283.557
57,1.900000,559.865,378.232,152.189,56.632,185.238,289.425
58,1.933333,555.506,384.126,150.399,61.393,186.414,294.511
59,1.966667,552.489,388.501,149.193,64.915,187.252,298.234
60,2.000000,550.547,391.433,148.429,67.269,187.808,300.709
61,2.033333,549.610,393.113,148.088,68.610,188.045,302.093
62,2.066667,549.655,394.005,148.203,69.300,187.881,302.793
63,2.100000,550.224,394.755,148.590,69.859,187.456,303.473
64,2.133333,550.735,395.635,148.959,70.521,187.045,304.230
