frame,time_s,pixel_x,pixel_y,world_x_mm,world_y_mm,straight_mm,cumulative_mm
0,0.000000,445.000,419.000,85.058,93.670,0.000,0.000
1,0.033333,444.977,418.922,85.037,93.613,0.060,0.060
2,0.066667,444.905,418.741,84.979,93.485,0.201,0.201
3,0.100000,444.851,418.627,84.938,93.404,0.291,0.291
4,0.133333,444.899,418.661,84.968,93.426,0.259,0.328
5,0.166667,444.991,418.660,85.020,93.421,0.252,0.380
6,0.200000,445.079,418.614,85.065,93.382,0.288,0.440
7,0.233333,445.120,418.623,85.089,93.386,0.285,0.464
8,0.266667,445.113,418.666,85.089,93.418,0.254,0.496
9,0.300000,445.075,418.742,85.075,93.476,0.195,0.555
10,0.333333,445.149,418.845,85.126,93.547,0.140,0.643
11,0.366667,445.290,418.938,85.214,93.607,0.169,0.750
12,0.400000,445.421,418.981,85.292,93.632,0.238,0.831
13,0.433333,445.528,419.006,85.354,93.644,0.298,0.895
14,0.466667,445.623,418.975,85.404,93.615,0.351,0.952
15,0.500000,445.623,418.919,85.399,93.575,0.355,0.993
16,0.533333,445.631,418.920,85.404,93.575,0.359,0.998
17,0.566667,445.666,418.925,85.424,93.576,0.378,1.018
18,0.600000,445.706,418.912,85.445,93.565,0.401,1.042
19,0.633333,445.697,418.866,85.436,93.531,0.403,1.077
20,0.666667,445.713,418.804,85.439,93.485,0.423,1.123
21,0.700000,445.734,418.743,85.444,93.439,0.450,1.170
22,0.733333,445.822,418.723,85.492,93.420,0.501,1.221
23,0.766667,445.904,418.716,85.537,93.410,0.546,1.268
24,0.800000,445.977,418.671,85.574,93.372,0.596,1.320
25,0.833333,446.034,418.603,85.599,93.319,0.646,1.379
26,0.866667,446.374,418.529,85.783,93.245,0.840,1.577
27,0.900000,447.379,418.365,86.330,93.068,1.407,2.152
28,0.933333,449.050,418.113,87.240,92.788,2.354,3.104
29,0.966667,451.081,417.777,88.342,92.427,3.512,4.264
30,1.000000,453.259,417.424,89.521,92.046,4.750,5.503
31,1.033333,455.429,417.109,90.697,91.694,5.976,6.731
32,1.066667,457.429,416.912,91.787,91.438,7.090,7.850
33,1.100000,459.169,416.751,92.735,91.224,8.057,8.821
34,1.133333,460.796,416.677,93.626,91.079,8.951,9.724
35,1.166667,462.455,416.579,94.531,90.917,9.865,10.644
36,1.200000,464.249,416.449,95.505,90.723,10.855,11.637
37,1.233333,466.065,416.361,96.493,90.559,11.851,12.639
38,1.266667,467.891,416.311,97.488,90.423,12.847,13.643
39,1.300000,469.826,416.211,98.536,90.244,13.907,14.706
40,1.333333,472.040,416.109,99.733,90.050,15.115,15.919
41,1.366667,474.448,416.006,101.033,89.844,16.427,17.235
42,1.400000,476.922,415.876,102.362,89.617,17.773,18.584
43,1.433333,479.558,415.760,103.776,89.391,19.202,20.016
44,1.466667,482.432,415.632,105.313,89.145,20.755,21.572
45,1.500000,485.407,415.501,106.899,88.891,22.358,23.178
46,1.533333,488.395,415.379,108.486,88.644,23.962,24.784
47,1.566667,491.432,415.208,110.091,88.361,25.591,26.414
48,1.600000,494.631,415.044,111.777,88.075,27.299,28.124
49,1.633333,498.094,414.894,113.598,87.786,29.140,29.968
50,1.666667,501.862,414.678,115.566,87.435,31.139,31.967
51,1.700000,505.820,414.407,117.622,87.037,33.233,34.061
52,1.733333,510.010,414.150,119.791,86.638,35.438,36.267
53,1.766667,514.465,413.866,122.085,86.208,37.772,38.601
54,1.800000,519.240,413.568,124.533,85.755,40.261,41.090
55,1.833333,524.370,413.287,127.150,85.298,42.917,43.747
56,1.866667,530.069,413.008,130.043,84.818,45.848,46.679
57,1.900000,536.437,412.748,133.257,84.320,49.098,49.932
58,1.933333,543.471,412.472,136.782,83.783,52.660,53.497
59,1.966667,550.830,412.156,140.438,83.206,56.360,57.198
60,2.000000,558.212,411.824,144.076,82.621,60.044,60.883
61,2.033333,565.500,411.493,147.638,82.046,63.651,64.491
62,2.066667,572.654,411.179,151.109,81.494,67.164,68.005
63,2.100000,579.680,410.878,154.491,80.961,70.587,71.429
64,2.133333,586.605,410.590,157.800,80.445,73.935,74.779
65,2.166667,593.494,410.309,161.068,79.940,77.241,78.085
66,2.200000,600.236,410.043,164.243,79.455,80.451,81.297
67,2.233333,606.728,409.739,167.277,78.959,83.525,84.371
68,2.266667,612.803,409.399,170.095,78.460,86.387,87.233
69,2.300000,618.513,409.040,172.727,77.968,89.064,89.911
70,2.333333,623.953,408.681,175.219,77.489,91.602,92.449
71,2.366667,629.344,408.279,177.674,76.987,94.107,94.955
72,2.400000,634.789,407.852,180.140,76.468,96.626,97.474
73,2.433333,640.372,407.429,182.654,75.949,99.192,100.041
74,2.466667,646.110,407.059,185.225,75.462,101.809,102.658
75,2.500000,651.888,406.678,187.799,74.968,104.429,105.278
76,2.533333,657.638,406.331,190.345,74.502,107.018,107.868
77,2.566667,663.225,405.982,192.806,74.043,109.521,110.370
