frame,time_s,pixel_x,pixel_y,world_x_mm,world_y_mm,straight_mm,cumulative_mm
0,0.000000,676.000,187.500,211.313,-108.633,0.000,0.000
1,0.033333,668.314,189.256,206.278,-106.826,5.349,5.349
2,0.066667,661.130,190.836,201.569,-105.196,10.333,10.333
3,0.100000,654.526,192.245,197.237,-103.738,14.902,14.903
4,0.133333,648.307,193.735,193.184,-102.217,19.231,19.233
5,0.166667,635.550,196.829,184.884,-99.066,28.107,28.110
6,0.200000,623.469,200.068,177.078,-95.806,36.559,36.569
7,0.233333,611.528,203.587,169.421,-92.299,44.964,44.992
8,0.266667,599.964,207.407,162.076,-88.535,53.181,53.245
9,0.300000,589.221,211.170,155.295,-84.850,60.857,60.962
10,0.333333,579.492,214.842,149.204,-81.281,67.865,68.022
11,0.366667,571.188,218.138,144.037,-78.093,73.883,74.093
12,0.400000,565.134,220.754,140.306,-75.581,78.323,78.592
13,0.433333,560.939,222.652,137.736,-73.765,81.421,81.738
14,0.466667,558.079,224.009,135.994,-72.471,83.550,83.908
15,0.500000,556.384,224.713,134.948,-71.795,84.786,85.154
16,0.533333,555.536,225.146,134.436,-71.383,85.426,85.811
17,0.566667,554.992,225.391,134.103,-71.149,85.827,86.217
18,0.600000,554.724,225.563,133.947,-70.988,86.039,86.442
19,0.633333,554.557,225.744,133.860,-70.821,86.190,86.630
20,0.666667,554.397,226.017,133.791,-70.571,86.362,86.890
21,0.700000,554.316,226.088,133.746,-70.504,86.431,86.970
22,0.733333,554.285,226.238,133.747,-70.369,86.491,87.105
23,0.766667,553.844,226.566,133.496,-70.063,86.851,87.501
24,0.800000,553.121,227.068,133.079,-69.593,87.434,88.129
25,0.833333,552.187,227.791,132.552,-68.920,88.207,88.984
26,0.866667,551.189,228.537,131.985,-68.223,89.028,89.882
27,0.900000,550.186,229.193,131.401,-67.609,89.827,90.730
28,0.933333,549.490,229.667,130.999,-67.166,90.388,91.328
29,0.966667,549.064,229.864,130.740,-66.978,90.704,91.648
30,1.000000,548.795,229.842,130.554,-66.992,90.862,91.834
31,1.033333,548.639,229.598,130.413,-67.207,90.889,92.091
32,1.066667,548.458,229.143,130.226,-67.612,90.872,92.537
33,1.100000,548.250,228.673,130.017,-68.029,90.872,93.004
34,1.133333,548.014,228.254,129.797,-68.401,90.904,93.436
35,1.166667,547.882,227.825,129.646,-68.784,90.871,93.847
36,1.200000,547.734,227.591,129.512,-68.991,90.901,94.094
37,1.233333,547.684,227.571,129.475,-69.007,90.926,94.134
