frame,time_s,pixel_x,pixel_y,world_x_mm,world_y_mm,straight_mm,cumulative_mm
0,0.000000,447.000,541.000,105.160,195.995,0.000,0.000
1,0.033333,446.768,540.834,105.002,195.880,0.196,0.196
2,0.066667,446.576,540.690,104.870,195.779,0.362,0.362
3,0.100000,446.453,540.630,104.789,195.739,0.451,0.452
4,0.133333,446.460,540.604,104.790,195.719,0.462,0.472
5,0.166667,446.449,540.497,104.771,195.639,0.528,0.555
6,0.200000,446.498,540.475,104.798,195.620,0.522,0.587
7,0.233333,446.547,540.483,104.828,195.624,0.498,0.617
8,0.266667,446.589,540.480,104.852,195.621,0.485,0.642
9,0.300000,446.585,540.467,104.848,195.611,0.495,0.653
10,0.333333,446.567,540.486,104.840,195.626,0.489,0.670
11,0.366667,446.583,540.486,104.849,195.625,0.484,0.679
12,0.400000,446.601,540.514,104.864,195.646,0.458,0.705
13,0.433333,446.599,540.520,104.863,195.650,0.456,0.709
14,0.466667,446.589,540.519,104.857,195.649,0.460,0.715
15,0.500000,446.538,540.511,104.825,195.646,0.484,0.746
16,0.533333,446.509,540.514,104.809,195.649,0.493,0.763
17,0.566667,446.528,540.510,104.819,195.646,0.488,0.774
18,0.600000,446.537,540.513,104.825,195.647,0.483,0.781
19,0.633333,446.524,540.514,104.817,195.649,0.487,0.789
20,0.666667,446.505,540.514,104.806,195.649,0.495,0.800
21,0.700000,446.495,540.518,104.801,195.653,0.496,0.806
22,0.733333,446.496,540.513,104.800,195.649,0.499,0.810
23,0.766667,446.531,540.462,104.815,195.609,0.518,0.852
24,0.800000,446.520,540.211,104.778,195.420,0.690,1.045
25,0.833333,446.881,539.797,104.944,195.092,0.928,1.412
26,0.866667,447.717,539.105,105.358,194.536,1.473,2.106
27,0.900000,448.943,538.102,105.968,193.728,2.407,3.118
28,0.933333,450.527,536.781,106.753,192.665,3.692,4.440
29,0.966667,452.349,535.549,107.691,191.659,5.020,5.814
30,1.000000,454.310,534.328,108.713,190.656,6.413,7.247
31,1.033333,456.529,533.228,109.902,189.734,7.854,8.752
