frame,time_s,pixel_x,pixel_y,world_x_mm,world_y_mm,straight_mm,cumulative_mm
0,0.000000,383.500,532.500,68.006,205.224,0.000,0.000
1,0.033333,383.707,532.351,68.121,205.076,0.187,0.187
2,0.066667,383.867,532.214,68.206,204.942,0.345,0.345
3,0.100000,383.903,532.190,68.226,204.918,0.377,0.377
4,0.133333,383.861,532.258,68.209,204.982,0.315,0.444
5,0.166667,383.899,532.250,68.233,204.972,0.339,0.470
6,0.200000,383.934,532.213,68.251,204.936,0.377,0.509
7,0.233333,383.941,532.195,68.253,204.920,0.391,0.526
8,0.266667,383.944,532.207,68.257,204.931,0.385,0.538
9,0.300000,383.957,532.180,68.260,204.905,0.408,0.564
10,0.333333,383.963,532.151,68.260,204.879,0.428,0.590
11,0.366667,383.947,532.141,68.247,204.871,0.427,0.605
12,0.400000,383.923,532.153,68.233,204.883,0.409,0.624
13,0.433333,383.906,532.148,68.221,204.879,0.406,0.637
14,0.466667,383.908,532.152,68.223,204.883,0.404,0.641
15,0.500000,383.927,532.131,68.232,204.863,0.426,0.663
16,0.533333,383.926,532.128,68.231,204.860,0.428,0.666
17,0.566667,383.918,532.116,68.224,204.850,0.432,0.678
18,0.600000,383.863,532.064,68.178,204.806,0.451,0.741
19,0.633333,383.791,531.907,68.104,204.668,0.564,0.899
20,0.666667,383.696,531.739,68.012,204.522,0.702,1.071
21,0.700000,383.576,531.561,67.902,204.368,0.863,1.261
22,0.733333,383.430,531.410,67.779,204.240,1.009,1.438
23,0.766667,383.421,531.207,67.740,204.057,1.197,1.626
24,0.800000,385.404,530.035,68.877,202.873,2.507,3.268
25,0.833333,390.552,527.368,71.887,200.146,6.391,7.329
26,0.866667,400.538,522.553,77.757,195.203,13.982,15.003
27,0.900000,415.464,515.660,86.515,188.143,25.186,26.252
28,0.933333,434.033,507.041,97.296,179.410,39.041,40.126
29,0.966667,453.767,497.886,108.624,170.238,53.608,54.702
30,1.000000,473.578,488.136,119.770,160.646,68.313,69.408
31,1.033333,493.294,477.366,130.554,150.283,83.251,84.364
32,1.066667,513.541,465.319,141.330,138.917,98.858,100.026
33,1.100000,535.870,451.155,152.913,125.791,116.269,117.531
34,1.133333,560.197,435.150,165.254,111.210,135.262,136.634
35,1.166667,585.947,418.011,178.083,95.847,155.178,156.650
36,1.200000,611.614,400.848,190.657,80.708,174.778,176.329
37,1.233333,637.172,383.234,202.896,65.436,194.257,195.900
38,1.266667,662.297,365.744,214.712,50.512,213.209,214.935
39,1.300000,687.506,347.912,226.339,35.536,232.084,233.895
40,1.333333,712.585,329.861,237.679,20.615,250.738,252.637
41,1.366667,737.019,311.869,248.495,5.972,268.845,270.841
42,1.400000,760.267,294.231,258.552,-8.169,286.084,288.193
43,1.433333,782.365,276.650,267.843,-22.061,302.643,304.906
44,1.466667,803.559,258.932,276.494,-35.871,318.738,321.202
45,1.500000,824.347,240.855,284.752,-49.778,334.671,337.376
46,1.533333,844.422,222.691,292.509,-63.575,350.220,353.204
47,1.566667,863.050,205.049,299.489,-76.819,364.873,368.174
48,1.600000,880.227,187.971,305.717,-89.500,378.640,382.302
49,1.633333,895.972,171.460,311.224,-101.639,391.560,395.632
50,1.666667,910.482,155.269,316.087,-113.437,403.843,408.393
51,1.700000,924.374,139.099,320.590,-125.118,415.841,420.912
52,1.733333,937.662,123.042,324.759,-136.622,427.528,433.149
53,1.766667,949.932,107.738,328.497,-147.501,438.486,444.651
54,1.800000,961.016,93.274,331.741,-157.711,448.640,455.365
55,1.833333,970.819,79.760,334.471,-167.195,457.929,465.234
56,1.866667,979.546,66.820,336.735,-176.233,466.610,474.551
57,1.900000,987.510,54.433,338.694,-184.843,474.788,483.381
58,1.933333,994.794,42.715,340.411,-192.951,482.439,491.669
59,1.966667,1001.114,32.142,341.827,-200.236,489.260,499.090
60,2.000000,875.056,88.557,286.521,-163.132,428.293,565.689
61,2.033333,747.378,147.672,227.073,-121.528,363.412,638.250
62,2.066667,618.342,209.056,163.011,-75.208,296.088,717.303
63,2.100000,488.223,272.192,93.802,-23.997,230.668,803.398
64,2.133333,357.402,336.626,18.931,32.347,179.707,897.102
65,2.166667,357.375,336.607,18.910,32.331,179.729,897.129
66,2.200000,357.340,336.578,18.881,32.306,179.760,897.166
67,2.233333,357.296,336.562,18.849,32.293,179.781,897.201
68,2.266667,357.276,336.531,18.831,32.267,179.812,897.233
69,2.300000,357.247,336.520,18.810,32.258,179.826,897.256
70,2.333333,357.193,336.546,18.778,32.282,179.812,897.296
71,2.366667,357.154,336.564,18.754,32.298,179.803,897.325
72,2.400000,357.135,336.575,18.743,32.308,179.797,897.339
73,2.433333,357.122,336.580,18.736,32.312,179.794,897.348
74,2.466667,357.121,336.593,18.737,32.324,179.782,897.360
75,2.500000,357.138,336.591,18.748,32.322,179.782,897.372
76,2.533333,357.141,336.594,18.750,32.324,179.779,897.375
77,2.566667,357.135,336.598,18.747,32.328,179.776,897.380
78,2.600000,357.135,336.598,18.747,32.328,179.777,897.381
79,2.633333,357.120,336.591,18.735,32.322,179.785,897.394
80,2.666667,357.088,336.606,18.717,32.336,179.777,897.417
81,2.700000,357.064,336.621,18.703,32.349,179.768,897.436
82,2.733333,357.041,336.616,18.686,32.346,179.776,897.453
83,2.766667,357.014,336.623,18.670,32.352,179.774,897.471
84,2.800000,357.001,336.628,18.661,32.357,179.772,897.480
85,2.833333,356.995,336.640,18.660,32.367,179.762,897.491
86,2.866667,356.993,336.648,18.660,32.374,179.755,897.498
87,2.900000,356.987,336.658,18.657,32.383,179.748,897.507
88,2.933333,356.973,336.647,18.646,32.374,179.760,897.522
89,2.966667,356.959,336.639,18.635,32.367,179.770,897.535
90,3.000000,356.940,336.643,18.623,32.371,179.769,897.548
91,3.033333,356.911,336.641,18.603,32.369,179.776,897.567
92,3.066667,356.889,336.636,18.587,32.366,179.783,897.583
93,3.100000,356.874,336.635,18.578,32.366,179.786,897.593
94,3.133333,356.861,336.636,18.569,32.367,179.788,897.602
95,3.166667,356.853,336.629,18.562,32.360,179.796,897.611
96,3.200000,356.858,336.634,18.566,32.365,179.790,897.617
97,3.233333,356.862,336.639,18.570,32.369,179.785,897.623
98,3.266667,356.863,336.647,18.572,32.376,179.778,897.630
99,3.300000,356.864,336.632,18.570,32.363,179.791,897.643
100,3.333333,356.860,336.635,18.568,32.366,179.789,897.647
101,3.366667,356.852,336.634,18.562,32.365,179.791,897.652
102,3.400000,356.846,336.640,18.559,32.370,179.787,897.658
103,3.433333,356.843,336.674,18.562,32.400,179.758,897.688
104,3.466667,356.835,336.750,18.569,32.466,179.692,897.755
105,3.500000,356.835,336.789,18.575,32.500,179.658,897.789
106,3.533333,356.842,336.815,18.584,32.522,179.634,897.813
107,3.566667,356.850,336.828,18.591,32.534,179.621,897.827
108,3.600000,356.861,336.804,18.595,32.512,179.640,897.849
