frame,time_s,pixel_x,pixel_y,world_x_mm,world_y_mm,straight_mm,cumulative_mm
0,0.000000,446.000,150.000,45.728,-129.751,0.000,0.000
1,0.033333,445.967,150.065,45.718,-129.697,0.055,0.055
2,0.066667,445.955,149.949,45.690,-129.798,0.060,0.160
3,0.100000,445.942,149.801,45.658,-129.925,0.188,0.292
4,0.133333,445.906,149.755,45.627,-129.967,0.239,0.344
5,0.166667,445.863,149.722,45.594,-129.998,0.281,0.389
6,0.200000,445.849,149.705,45.582,-130.014,0.300,0.408
7,0.233333,445.838,149.721,45.578,-130.001,0.291,0.422
8,0.266667,445.802,149.747,45.560,-129.980,0.284,0.450
9,0.300000,445.771,149.719,45.535,-130.007,0.320,0.486
10,0.333333,445.715,149.741,45.503,-129.991,0.329,0.521
11,0.366667,445.680,149.722,45.478,-130.010,0.360,0.553
12,0.400000,445.687,149.700,45.479,-130.028,0.372,0.571
13,0.433333,445.724,149.683,45.500,-130.040,0.369,0.596
14,0.466667,445.738,149.682,45.508,-130.040,0.363,0.604
15,0.500000,445.766,149.639,45.518,-130.076,0.387,0.641
16,0.533333,445.796,149.616,45.534,-130.093,0.393,0.665
17,0.566667,445.808,149.608,45.540,-130.100,0.396,0.674
18,0.600000,445.794,149.620,45.534,-130.091,0.391,0.685
19,0.633333,445.781,149.628,45.526,-130.084,0.389,0.695
20,0.666667,445.779,149.632,45.526,-130.081,0.387,0.698
21,0.700000,445.872,149.604,45.581,-130.099,0.378,0.756
22,0.733333,446.225,149.533,45.793,-130.139,0.394,0.972
23,0.766667,446.954,149.338,46.224,-130.262,0.713,1.420
24,0.800000,448.210,148.998,46.965,-130.479,1.436,2.192
25,0.833333,449.933,148.542,47.982,-130.767,2.473,3.249
26,0.866667,451.898,148.058,49.146,-131.063,3.662,4.450
27,0.900000,453.965,147.654,50.386,-131.284,4.904,5.710
28,0.933333,456.038,147.405,51.653,-131.371,6.142,6.979
29,0.966667,458.049,147.325,52.906,-131.318,7.347,8.234
30,1.000000,460.140,147.307,54.218,-131.207,8.614,9.550
31,1.033333,462.458,147.262,55.664,-131.105,10.028,11.001
32,1.066667,465.009,147.223,57.255,-130.984,11.593,12.596
33,1.100000,467.874,147.151,59.032,-130.873,13.351,14.376
34,1.133333,471.025,147.041,60.977,-130.778,15.283,16.323
35,1.166667,474.325,146.900,63.002,-130.700,17.300,18.350
36,1.200000,477.758,146.822,65.114,-130.560,19.403,20.467
37,1.233333,481.281,146.723,67.272,-130.435,21.554,22.628
38,1.266667,484.745,146.647,69.390,-130.292,23.668,24.751
39,1.300000,488.126,146.613,71.457,-130.120,25.732,26.826
40,1.333333,491.502,146.617,73.522,-129.918,27.795,28.900
41,1.366667,495.025,146.623,75.670,-129.705,29.942,31.058
42,1.400000,498.928,146.625,78.041,-129.474,32.314,33.441
43,1.433333,503.357,146.656,80.725,-129.188,35.002,36.140
44,1.466667,508.313,146.647,83.709,-128.907,37.991,39.137
45,1.500000,513.715,146.640,86.948,-128.600,41.236,42.391
46,1.533333,519.492,146.619,90.391,-128.283,44.688,45.849
47,1.566667,525.514,146.612,93.964,-127.943,48.270,49.438
48,1.600000,531.788,146.645,97.672,-127.557,51.991,53.166
49,1.633333,538.195,146.744,101.449,-127.112,55.783,56.968
50,1.666667,544.714,146.871,105.273,-126.640,59.626,60.822
51,1.700000,551.311,147.114,109.139,-126.071,63.517,64.729
52,1.733333,558.014,147.468,113.060,-125.408,67.472,68.706
53,1.766667,564.843,147.908,117.045,-124.673,71.497,72.758
54,1.800000,571.887,148.415,121.137,-123.875,75.638,76.927
55,1.833333,579.024,149.019,125.272,-123.000,79.830,81.154
56,1.866667,586.306,149.537,129.450,-122.191,84.063,85.409
57,1.900000,593.704,150.101,133.672,-121.344,88.346,89.716
58,1.933333,601.049,150.724,137.848,-120.457,92.588,93.985
59,1.966667,608.344,151.418,141.980,-119.523,96.794,98.221
60,2.000000,615.766,152.170,146.165,-118.541,101.061,102.520
61,2.033333,623.210,153.102,150.363,-117.422,105.359,106.864
62,2.066667,630.764,154.187,154.616,-116.184,109.730,111.294
63,2.100000,638.505,155.371,158.957,-114.865,114.204,115.831
64,2.133333,646.334,156.642,163.330,-113.482,118.722,120.417
65,2.166667,654.216,157.976,167.711,-112.057,123.260,125.024
66,2.200000,662.155,159.421,172.109,-110.553,127.831,129.672
67,2.233333,669.987,160.833,176.418,-109.089,132.313,134.223
68,2.266667,677.786,162.280,180.686,-107.608,136.762,138.741
69,2.300000,685.703,163.861,185.007,-106.028,141.285,143.341
70,2.333333,693.772,165.541,189.391,-104.377,145.887,148.027
71,2.366667,701.976,167.303,193.827,-102.666,150.555,152.780
72,2.400000,710.251,169.180,198.285,-100.877,155.265,157.584
73,2.433333,718.573,171.117,202.745,-99.053,159.990,162.403
74,2.466667,726.688,173.027,207.067,-97.270,164.577,167.078
75,2.500000,734.460,174.865,211.182,-95.566,168.948,171.532
76,2.533333,741.903,176.626,215.097,-93.944,173.113,175.770
77,2.566667,748.984,178.374,218.811,-92.356,177.076,179.809
78,2.600000,755.754,180.068,222.344,-90.829,180.854,183.658
79,2.633333,762.624,181.866,225.922,-89.228,184.694,187.577
80,2.666667,769.861,183.920,229.691,-87.433,188.768,191.753
81,2.700000,777.512,186.296,233.683,-85.393,193.118,196.235
82,2.733333,785.796,189.008,237.996,-83.096,197.847,201.122
83,2.766667,794.778,192.122,242.664,-80.493,203.003,206.467
84,2.800000,804.200,195.367,247.522,-77.799,208.375,212.022
85,2.833333,813.893,198.757,252.490,-75.011,213.885,217.718
86,2.866667,823.565,202.238,257.422,-72.179,219.383,223.406
87,2.900000,832.951,205.663,262.178,-69.417,224.702,228.906
88,2.933333,841.784,208.940,266.630,-66.797,229.698,234.071
89,2.966667,850.125,212.197,270.828,-64.222,234.444,238.996
90,3.000000,858.107,215.471,274.841,-61.661,239.017,243.757
91,3.033333,866.146,218.794,278.861,-59.079,243.610,248.535
92,3.066667,874.438,222.279,282.989,-56.391,248.344,253.460
93,3.100000,883.123,226.007,287.295,-53.539,253.304,258.625
94,3.133333,892.238,229.993,291.793,-50.514,258.508,264.046
95,3.166667,901.436,234.129,296.315,-47.403,263.771,269.534
96,3.200000,910.453,238.282,300.731,-44.305,268.938,274.929
97,3.233333,919.036,242.345,304.920,-41.298,273.869,280.085
98,3.266667,927.121,246.113,308.833,-38.526,278.471,284.881
99,3.300000,934.584,249.709,312.439,-35.899,282.742,289.343
100,3.333333,941.794,253.195,315.906,-33.367,286.855,293.635
101,3.366667,948.917,256.715,319.322,-30.827,290.929,297.892
102,3.400000,956.271,260.351,322.829,-28.217,295.118,302.264
103,3.433333,964.108,264.382,326.567,-25.344,299.618,306.978
104,3.466667,972.593,268.764,330.590,-22.240,304.476,312.060
105,3.500000,981.736,273.599,334.912,-18.839,309.724,317.559
106,3.533333,991.383,278.868,339.463,-15.162,315.295,323.410
107,3.566667,1001.490,284.658,344.230,-11.153,321.199,329.639
108,3.600000,1011.848,290.795,349.105,-6.938,327.293,336.083
109,3.633333,1022.240,297.110,353.979,-2.634,333.432,342.585
110,3.666667,1032.303,303.330,358.676,1.572,339.385,348.890
111,3.700000,1041.900,309.217,363.118,5.524,345.015,354.836
112,3.733333,1050.508,314.488,367.074,9.040,350.037,360.128
113,3.766667,1057.641,318.877,370.336,11.950,354.189,364.500
114,3.800000,1063.054,322.213,372.801,14.152,357.330,367.805
115,3.833333,1066.797,324.541,374.503,15.684,359.505,370.095
116,3.866667,1068.998,325.975,375.509,16.626,360.807,371.473
117,3.900000,1070.063,326.665,375.995,17.078,361.435,372.137
118,3.933333,1070.474,326.949,376.185,17.265,361.684,372.404
119,3.966667,1070.619,327.089,376.257,17.357,361.788,372.521
120,4.000000,1070.659,327.170,376.282,17.411,361.832,372.580
121,4.033333,1070.607,327.213,376.268,17.440,361.832,372.612
122,4.066667,1070.599,327.210,376.265,17.438,361.827,372.617
123,4.100000,1070.598,327.206,376.264,17.435,361.825,372.619
124,4.133333,1070.631,327.194,376.275,17.427,361.832,372.633
125,4.166667,1070.666,327.181,376.286,17.418,361.839,372.647
126,4.200000,1070.794,327.203,376.337,17.432,361.891,372.700
127,4.233333,1070.902,327.291,376.388,17.490,361.961,372.777
128,4.266667,1071.021,327.395,376.446,17.558,362.042,372.867
129,4.300000,1071.110,327.494,376.491,17.623,362.110,372.946
130,4.333333,1071.198,327.570,376.534,17.673,362.169,373.012
131,4.366667,1071.240,327.613,376.555,17.702,362.200,373.048
132,4.400000,1071.261,327.637,376.566,17.718,362.217,373.067
133,4.433333,1071.243,327.657,376.562,17.731,362.218,373.081
134,4.466667,1071.202,327.829,376.569,17.846,362.271,373.196
